datetime,last,bought,sold,bid_price_0,bid_amount_0,bid_price_1,bid_amount_1,bid_price_2,bid_amount_2,bid_price_3,bid_amount_3,bid_price_4,bid_amount_4,bid_price_5,bid_amount_5,bid_price_6,bid_amount_6,bid_price_7,bid_amount_7,bid_price_8,bid_amount_8,bid_price_9,bid_amount_9,bid_price_10,bid_amount_10,bid_price_11,bid_amount_11,bid_price_12,bid_amount_12,bid_price_13,bid_amount_13,bid_price_14,bid_amount_14,ask_price_0,ask_amount_0,ask_price_1,ask_amount_1,ask_price_2,ask_amount_2,ask_price_3,ask_amount_3,ask_price_4,ask_amount_4,ask_price_5,ask_amount_5,ask_price_6,ask_amount_6,ask_price_7,ask_amount_7,ask_price_8,ask_amount_8,ask_price_9,ask_amount_9,ask_price_10,ask_amount_10,ask_price_11,ask_amount_11,ask_price_12,ask_amount_12,ask_price_13,ask_amount_13,ask_price_14,ask_amount_14
2017-09-08T09:54:53.830,3885.1,0.02,0.0,3884.32,0.23218478,3884.24,0.03,3884.23,1.61308049,3884.23,1.17352801,3884.23,0.03,3884.2,0.25,3884.13,0.033415,3884.07,0.04,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.03,0.25,3883.02,0.02,3883.01,0.01,3882.97,0.03,3885.1,0.01,3885.39,0.01,3887.31,0.1,3887.32,0.25,3887.58,0.02713749,3887.89,0.25171694,3888.51,0.25,3888.52,0.02105333,3888.61,0.02640176,3889.06,0.56456938,3889.1,0.04,3889.12,0.02749109,3889.58,0.01217479,3890.0,0.14485291,3890.28,0.06801246
2017-09-08T09:54:56.228,3885.1,0.0,0.0,3884.37,0.03,3884.37,0.03,3884.36,0.23218239,3884.23,1.61308049,3884.23,1.17352801,3884.14,0.25,3884.13,0.033415,3884.07,0.04,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.02,0.02,3883.01,0.01,3882.98,0.25,3882.97,0.03,3885.1,0.01,3885.39,0.01,3887.26,0.1,3887.27,0.23,3887.58,0.02713749,3888.5,0.25,3888.53,0.02105333,3889.06,0.56456938,3889.09,0.25,3889.1,0.04,3889.12,0.02749109,3889.58,0.01217479,3890.0,0.14485291,3890.27,0.25,3890.28,0.06801246
2017-09-08T09:54:58.500,3885.1,0.0,0.0,3884.38,0.03,3884.37,0.23218179,3884.25,0.01,3884.24,0.03,3884.23,1.61308049,3884.23,1.17352801,3884.13,0.033415,3884.07,0.04,3884.0,0.25,3883.46,0.25,3883.45,0.03,3883.45,0.517,3883.02,0.02,3883.01,0.01,3882.97,0.03,3885.1,0.01,3885.39,0.01,3887.21,0.25,3887.22,0.1,3888.56,0.02105333,3889.05,0.25,3889.05,0.25,3889.06,0.56456938,3889.1,0.04,3889.12,0.02749109,3889.58,0.01217479,3890.0,0.14485291,3890.27,0.25,3890.28,0.06801246,3892.39,0.25
2017-09-08T09:55:01.151,3885.1,0.0,0.0,3884.39,0.01,3884.38,0.03,3884.37,0.23218179,3884.24,0.03,3884.23,1.61308049,3884.23,1.17352801,3884.13,0.033415,3884.13,0.04,3884.0,0.25,3883.47,0.25,3883.47,0.517,3883.45,0.03,3883.02,0.02,3883.01,0.01,3882.97,0.03,3885.1,0.01,3885.39,0.01,3887.18,0.03,3887.19,0.25,3887.2,0.1,3888.55,0.25,3889.04,0.25,3889.05,0.04,3889.06,0.56456938,3889.11,0.0473203,3889.12,0.02749109,3889.33,0.30665242,3889.58,0.01217479,3890.0,0.14485291,3890.27,0.25
2017-09-08T09:55:03.497,3885.1,0.0,0.0,3884.41,0.03,3884.4,0.23218,3884.24,0.03,3884.23,1.61308049,3884.23,1.17352801,3884.13,0.033415,3884.13,0.04,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.02,0.02,3883.01,0.01,3882.97,0.03,3882.97,0.03,3882.93,0.03,3885.1,0.01,3885.39,0.01,3887.17,0.23,3888.54,0.25,3888.56,0.25,3889.04,0.25,3889.05,0.04,3889.06,0.56456938,3889.11,0.0473203,3889.12,0.02749109,3889.33,0.30665242,3889.58,0.01217479,3890.0,0.14485291,3890.27,0.25,3890.28,0.06801246
2017-09-08T09:55:05.959,3885.1,0.0,0.0,3884.42,0.2321788,3884.25,0.01,3884.23,0.80654024,3884.23,1.17352801,3884.14,0.03,3884.13,0.033415,3884.01,0.03,3884.01,0.03,3884.0,0.25,3883.49,0.25,3883.48,0.517,3883.45,0.03,3883.02,0.02,3883.01,0.01,3882.93,0.03,3885.1,0.01,3885.39,0.01,3888.49,0.01,3888.49,0.1,3888.5,0.25,3888.58,0.02105333,3889.06,0.56456938,3889.11,0.0473203,3889.12,0.02749109,3889.12,0.30591484,3889.33,0.30665242,3889.58,0.01217479,3889.99,0.25,3890.0,0.14485291,3890.28,0.06801246
2017-09-08T09:55:08.283,3885.1,0.0,0.0,3884.44,0.01,3884.43,0.03,3884.42,0.2321788,3884.24,0.03,3884.24,0.04,3884.23,0.80654024,3884.23,1.17352801,3884.14,0.03,3884.0,0.25,3883.5,0.25,3883.49,0.517,3883.45,0.03,3883.02,0.02,3883.01,0.01,3882.97,0.03,3885.1,0.01,3885.39,0.01,3888.45,0.1,3888.46,0.25,3888.46,0.23,3888.46,0.25,3888.59,0.02105333,3889.05,0.25,3889.06,0.56456938,3889.11,0.0473203,3889.12,0.02749109,3889.12,0.30591484,3889.32,0.04,3889.33,0.30665242,3889.58,0.01217479
2017-09-08T09:55:10.906,3885.1,0.0,0.0,3884.46,0.03,3884.45,0.23217701,3884.4,1.17350233,3884.24,0.03,3884.24,0.04,3884.24,0.033414,3884.23,0.80654024,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.03,0.25,3883.02,0.02,3883.01,0.01,3882.97,0.03,3882.93,0.03,3885.1,0.01,3885.38,0.06801246,3885.38,0.03,3885.39,0.01,3888.42,0.25,3888.42,0.25,3888.43,0.1,3889.06,0.56456938,3889.11,0.0473203,3889.11,0.04,3889.12,0.02749109,3889.12,0.30591484,3889.33,0.30665242,3889.58,0.01217479,3889.99,0.25
2017-09-08T09:55:13.384,3885.1,0.2,0.0,3884.48,0.08,3884.47,0.03,3884.46,0.03,3884.46,0.03,3884.45,0.23217701,3884.4,1.17350233,3884.24,0.04,3884.24,0.033414,3884.23,0.80654024,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.24,0.03,3883.02,0.02,3885.1,0.03,3886.34,0.03372759,3888.61,0.02105333,3889.05,0.1346968,3889.06,0.56456938,3889.11,0.0473203,3889.11,0.04,3889.12,0.02749109,3889.12,0.30591484,3889.33,0.30665242,3889.58,0.01217479,3890.0,0.14485291,3890.29,0.13941146,3892.0,0.0121567,3892.4,0.08198754
2017-09-08T09:55:15.739,3885.1,0.0,0.0,3884.5,0.09,3884.49,0.03,3884.49,0.23217462,3884.47,0.03,3884.47,1.17349176,3884.46,0.03,3884.41,0.25,3884.24,0.04,3884.24,0.033414,3884.23,0.80654024,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.25,0.25,3885.1,0.03,3886.34,0.03372759,3888.4,0.1,3888.41,0.06801246,3888.58,0.25,3888.62,0.02105333,3889.05,0.13044387,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.11,0.04,3889.12,0.02749109,3889.12,0.30591484,3889.33,0.30665242,3889.57,0.25
2017-09-08T09:55:18.615,3885.1,0.0,0.0,3884.5,0.03,3884.49,0.23217462,3884.47,0.03,3884.47,1.17349176,3884.46,0.03,3884.24,0.04,3884.24,0.033414,3884.23,0.80654024,3884.14,0.03,3884.01,0.25,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.24,0.03,3883.02,0.02,3885.1,0.03,3886.34,0.03372759,3888.35,0.15,3888.36,0.17200145,3888.41,0.06801246,3888.63,0.02105333,3888.65,0.15717366,3889.05,0.13044387,3889.06,0.56456938,3889.09,0.25,3889.1,0.02956762,3889.11,0.0473203,3889.11,0.04,3889.12,0.02749109,3889.12,0.30591484
2017-09-08T09:55:21.028,3885.1,0.0,0.0,3884.54,0.23217163,3884.53,0.09,3884.51,1.6375105,3884.51,1.17348572,3884.47,0.03,3884.46,0.03,3884.24,0.04,3884.24,0.033414,3884.14,0.03,3884.01,0.25,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.24,0.03,3883.02,0.02,3885.1,0.03,3886.33,0.05577021,3886.33,0.01,3886.34,0.03372759,3888.33,0.25,3888.33,0.15,3888.34,0.10691215,3888.39,0.13044387,3888.65,0.15717366,3889.05,0.25,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.11,0.04,3889.12,0.02749109
2017-09-08T09:55:23.596,3885.1,0.0,0.0,3884.58,0.03,3884.57,0.23216984,3884.51,1.6375105,3884.51,1.17348572,3884.47,0.03,3884.46,0.03,3884.25,0.25,3884.24,0.04,3884.24,0.033414,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.24,0.03,3883.03,0.25,3885.1,0.03,3886.33,0.05577021,3886.34,0.03372759,3886.34,0.01,3888.33,0.25,3888.33,0.15,3888.34,0.10691215,3888.39,0.13044387,3888.65,0.15717366,3888.66,0.02105333,3889.05,0.04,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.02749109
2017-09-08T09:55:26.189,3885.1,0.0,0.0,3884.64,0.03,3884.63,0.25,3884.62,0.23216685,3884.55,1.63750207,3884.55,1.17347968,3884.47,0.03,3884.46,0.03,3884.24,0.04,3884.24,0.033414,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.25,0.25,3883.24,0.03,3885.1,0.03,3886.34,0.03372759,3888.32,0.1,3888.32,0.13044387,3888.64,0.25,3888.64,0.15,3888.65,0.15717366,3888.67,0.02105333,3889.05,0.04,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.02749109,3889.12,0.30591484,3889.33,0.30665242
2017-09-08T09:55:28.656,3885.1,0.0,0.0,3884.63,0.09,3884.62,1.63748731,3884.49,0.03,3884.48,0.25,3884.47,0.03,3884.46,0.03,3884.24,0.04,3884.24,0.033414,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.25,0.25,3883.24,0.03,3883.02,0.02,3885.1,0.03,3886.34,0.03372759,3888.64,0.25,3888.64,0.15,3888.65,0.15717366,3889.05,0.04,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.02749109,3889.12,0.30591484,3889.33,0.30665242,3889.57,0.25,3889.58,0.01217479,3890.0,0.14485291
2017-09-08T09:55:31.412,3885.1,0.0,0.0,3884.69,0.03,3884.68,0.25,3884.68,0.09,3884.67,0.23216386,3884.62,1.63748731,3884.62,1.17346911,3884.48,0.25,3884.47,0.03,3884.46,0.03,3884.24,0.04,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.25,0.25,3885.1,0.03,3886.34,0.03372759,3888.59,0.17224349,3888.62,0.15,3888.63,0.13044387,3888.65,0.15717366,3888.71,0.02105333,3889.05,0.04,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.02749109,3889.12,0.30591484,3889.57,0.25,3889.58,0.01217479
2017-09-08T09:55:33.897,3885.1,0.08,0.0,3884.71,0.25,3884.71,0.09,3884.7,0.23216207,3884.7,0.03,3884.67,1.63747677,3884.67,1.17346155,3884.63,0.033411,3884.47,0.03,3884.46,0.03,3884.24,0.04,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.45,0.517,3883.31,0.25,3886.34,0.01372759,3888.58,0.03,3888.58,0.25,3888.59,0.19299843,3888.61,0.13044387,3888.65,0.15717366,3888.72,0.02105333,3889.05,0.04,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.02749109,3889.12,0.30591484,3889.58,0.01217479,3890.0,0.14485291
2017-09-08T09:55:36.350,3885.1,0.0,0.0,3884.74,0.03,3884.73,0.09,3884.73,0.25,3884.72,0.23216087,3884.67,1.63747677,3884.67,1.17346155,3884.63,0.033411,3884.48,0.25,3884.47,0.03,3884.46,0.03,3884.24,0.04,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.36,0.25,3886.34,0.01372759,3887.08,0.03,3887.09,0.01168443,3888.54,0.25,3888.55,0.1,3888.56,0.15,3888.61,0.13044387,3888.65,0.15717366,3889.05,0.04,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.35,0.02105333,3889.57,0.25
2017-09-08T09:55:38.852,3885.1,0.0,0.0,3884.76,0.09,3884.75,0.03,3884.74,0.23215968,3884.73,1.63720285,3884.73,1.17326525,3884.63,0.033411,3884.48,0.25,3884.47,0.03,3884.46,0.03,3884.24,0.04,3884.14,0.03,3884.01,0.517,3884.0,0.25,3883.45,0.03,3883.36,0.25,3886.34,0.01372759,3887.08,0.03,3887.09,0.01168443,3888.54,0.25,3888.54,0.15,3888.55,0.1,3888.56,0.13044387,3889.05,0.04,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.36,0.02105333,3889.57,0.25,3889.58,0.01217479
2017-09-08T09:55:41.290,3885.1,0.0,0.0,3884.77,0.03,3884.76,0.09,3884.76,0.25,3884.74,0.23215968,3884.74,0.04,3884.73,1.63720285,3884.73,1.17326525,3884.63,0.033411,3884.48,0.25,3884.47,0.03,3884.46,0.03,3884.15,0.517,3884.14,0.03,3884.0,0.25,3883.45,0.03,3886.34,0.01372759,3887.08,0.03,3887.09,0.01168443,3888.53,0.15,3888.56,0.13044387,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.37,0.02105333,3889.57,0.25,3889.57,0.04,3889.58,0.01217479,3889.58,0.04536734,3889.58,0.02427083
2017-09-08T09:55:43.727,3885.1,0.0,0.0,3884.8,0.03,3884.79,0.23215669,3884.74,0.04,3884.73,1.17326525,3884.63,0.033411,3884.47,0.03,3884.46,0.03,3884.17,0.517,3884.16,0.25,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.35,0.03,3883.03,0.25,3883.02,0.02,3886.34,0.01372759,3887.08,0.03,3887.09,0.01168443,3888.55,0.25,3888.55,0.15,3888.56,0.13044387,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.58,0.01217479,3889.58,0.04536734,3889.58,0.02427083,3889.94,0.04819581,3890.0,0.14485291
2017-09-08T09:55:46.232,3885.1,0.0,0.0,3885.95,0.03,3885.94,0.23208798,3885.93,0.58663036,3884.76,0.81859826,3884.76,0.58663036,3884.74,0.04,3884.63,0.033411,3884.47,0.03,3884.46,0.03,3884.16,0.25,3884.16,0.517,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.35,0.03,3886.32,0.03,3886.33,0.05577021,3886.33,0.13044387,3886.34,0.01372759,3887.09,0.01168443,3887.63,0.01,3888.55,0.25,3888.55,0.15,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.35,0.04,3889.58,0.01217479,3889.58,0.04536734
2017-09-08T09:55:48.809,3885.1,0.0,0.0,3885.96,0.03,3885.95,0.23208739,3885.95,0.81847503,3885.93,0.58663036,3884.76,0.81859826,3884.74,0.04,3884.63,0.033411,3884.47,0.03,3884.46,0.03,3884.16,0.25,3884.16,0.517,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.35,0.03,3886.32,0.03,3886.34,0.01372759,3887.09,0.01168443,3888.55,0.25,3888.55,0.15,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.35,0.04,3889.58,0.01217479,3889.58,0.04536734,3889.58,0.02427083,3889.97,0.02105333,3889.99,0.05577021
2017-09-08T09:55:51.745,3885.1,0.0,0.0,3885.98,0.03,3885.95,0.81847503,3885.95,0.58654205,3885.93,0.58663036,3884.76,0.81859826,3884.74,0.04,3884.63,0.033411,3884.47,0.03,3884.47,0.517,3884.46,0.03,3884.16,0.25,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.35,0.03,3886.31,0.13044387,3886.32,0.03,3886.34,0.01372759,3887.09,0.01168443,3888.55,0.25,3888.55,0.15,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.35,0.04,3889.58,0.01217479,3889.58,0.04536734,3889.58,0.02427083,3889.99,0.05577021
2017-09-08T09:55:54.255,3885.1,0.0,0.0,3885.99,0.03,3885.98,0.2320856,3885.97,0.81847398,3885.95,0.81847503,3885.95,0.58654205,3884.63,0.033411,3884.63,0.517,3884.47,0.03,3884.46,0.03,3884.18,0.04,3884.16,0.25,3884.14,0.03,3884.0,0.25,3883.45,0.03,3883.35,0.03,3886.32,0.03,3886.34,0.01372759,3887.09,0.01168443,3888.55,0.25,3888.55,0.15,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.58,0.01217479,3889.58,0.04536734,3889.58,0.02427083,3889.98,0.02105333,3889.98,0.04,3889.99,0.05577021
2017-09-08T09:55:56.840,3885.1,0.0,0.0,3885.98,0.2320856,3885.98,0.03,3885.97,0.81847398,3885.97,0.5865413,3885.96,0.0334,3885.95,0.81847503,3885.95,0.58654205,3884.48,0.25,3884.47,0.03,3884.47,0.517,3884.46,0.03,3884.18,0.04,3884.14,0.03,3884.0,0.25,3883.45,0.03,3886.29,0.03,3886.3,0.13044387,3886.34,0.01372759,3887.09,0.01168443,3889.05,0.25,3889.05,0.25,3889.05,0.15,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.58,0.01217479,3889.58,0.04536734,3889.58,0.02427083,3889.97,0.02105333
2017-09-08T09:55:59.752,3885.1,0.0,0.0,3886.01,0.09,3886.0,0.81846977,3886.0,0.03,3886.0,0.2320844,3885.97,0.81847398,3885.97,0.5865413,3885.96,0.0334,3885.95,0.58654205,3884.49,0.25,3884.48,0.517,3884.47,0.03,3884.46,0.03,3884.18,0.04,3884.14,0.03,3884.01,0.25,3886.29,0.03,3886.3,0.13044387,3886.34,0.01372759,3887.09,0.01168443,3887.65,0.01,3889.05,0.25,3889.05,0.25,3889.05,0.15,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.57,0.05577021,3889.58,0.01217479,3889.58,0.04536734
2017-09-08T09:56:02.342,3885.1,0.0,0.0,3886.02,0.09,3886.01,0.2320838,3886.0,0.81846977,3886.0,0.03,3885.97,0.81847398,3885.97,0.5865413,3885.96,0.0334,3885.95,0.58654205,3884.5,0.517,3884.48,0.25,3884.47,0.03,3884.46,0.03,3884.18,0.04,3884.14,0.03,3884.01,0.25,3886.29,0.01,3886.3,0.13044387,3886.34,0.01372759,3887.09,0.01168443,3887.65,0.01,3889.05,0.25,3889.05,0.25,3889.05,0.15,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.57,0.05577021,3889.58,0.01217479,3889.58,0.04536734
2017-09-08T09:56:05.233,3886.29,0.02,0.0,3886.02,0.09,3886.01,0.2320838,3886.0,0.03,3885.96,0.0334,3884.52,0.25,3884.51,0.517,3884.47,0.03,3884.46,0.03,3884.18,0.04,3884.14,0.03,3884.0,0.25,3883.46,0.25,3883.45,0.03,3883.35,0.03,3883.02,0.02,3886.29,0.01,3886.34,0.01372759,3887.09,0.01168443,3887.65,0.01,3889.05,0.25,3889.05,0.25,3889.05,0.15,3889.06,0.56456938,3889.1,0.02956762,3889.11,0.0473203,3889.12,0.30591484,3889.58,0.01217479,3889.58,0.04536734,3889.58,0.02427083,3889.98,0.04
